id,title,year,ratings,votes,length,genres,formatted_title,formatted_length
tt0111161,The Shawshank Redemption (1994),1994,9.2,619479,142 mins.,Crime|Drama,The Shawshank Redemption,142
tt0110912,Pulp Fiction (1994),1994,9.0,490065,154 mins.,Crime|Thriller,Pulp Fiction,154
tt0137523,Fight Club (1999),1999,8.8,458173,139 mins.,Drama|Mystery|Thriller,Fight Club,139
tt0133093,The Matrix (1999),1999,8.7,448114,136 mins.,Action|Adventure|Sci-Fi,The Matrix,136
tt1375666,Inception (2010),2010,8.9,385149,148 mins.,Action|Adventure|Sci-Fi|Thriller,Inception,148
tt0109830,Forrest Gump (1994),1994,8.7,368994,142 mins.,Comedy|Drama|Romance,Forrest Gump,142
tt0169547,American Beauty (1999),1999,8.6,338332,122 mins.,Drama,American Beauty,122
tt0499549,Avatar (2009),2009,8.1,336855,162 mins.,Action|Adventure|Fantasy|Sci-Fi,Avatar,162
tt0108052,Schindler's List (1993),1993,8.9,325888,195 mins.,Biography|Drama|History|War,Schindler's List,195
tt0080684,Star Wars: Episode V - The Empire Strikes Back (1980),1980,8.8,320105,124 mins.,Action|Adventure|Family|Sci-Fi,Star Wars: Episode V - The Empire Strikes Back,124
tt0372784,Batman Begins (2005),2005,8.3,316613,140 mins.,Action|Crime|Drama|Thriller,Batman Begins,140
tt0114814,The Usual Suspects (1995),1995,8.7,306624,106 mins.,Crime|Mystery|Thriller,The Usual Suspects,106
tt0102926,The Silence of the Lambs (1991),1991,8.7,293081,118 mins.,Crime|Thriller,The Silence of the Lambs,118
tt0120338,Titanic (1997),1997,7.4,284245,194 mins.,Adventure|Drama|History|Romance,Titanic,194
tt0112573,Braveheart (1995),1995,8.4,281446,177 mins.,Action|Biography|Drama|History|War,Braveheart,177
tt0167404,The Sixth Sense (1999),1999,8.2,278210,107 mins.,Drama|Mystery|Thriller,The Sixth Sense,107
tt0266697,Kill Bill: Vol. 1 (2003),2003,8.2,272983,111 mins.,Action|Crime|Thriller,Kill Bill: Vol. 1,111
tt0099685,Goodfellas (1990),1990,8.8,270728,146 mins.,Biography|Crime|Drama|Thriller,Goodfellas,146
tt0416449,300 (2006),2006,7.8,269328,117 mins.,Action|Fantasy|History|War,300,117
tt0482571,The Prestige (2006),2006,8.4,258396,130 mins.,Drama|Mystery|Thriller,The Prestige,130
tt0105236,Reservoir Dogs (1992),1992,8.4,247390,99 mins.,Crime|Mystery|Thriller,Reservoir Dogs,99
tt0110413,Leon: The Professional (1994),1994,8.6,244568,110 mins.,Crime|Drama|Thriller,Leon: The Professional,110
tt0120689,The Green Mile (1999),1999,8.4,243660,189 mins.,Crime|Drama|Fantasy|Mystery,The Green Mile,189
tt0361748,Inglourious Basterds (2009),2009,8.4,240995,153 mins.,Adventure|Drama|War,Inglourious Basterds,153
tt0910970,WALL\xb7E (2008),2008,8.5,229364,98 mins.,Animation|Adventure|Family|Romance|Sci-Fi,WALL\xb7E,98
tt0468569,The Dark Knight (2008),2008,8.9,555122,152 mins.,Action|Crime|Drama|Thriller,The Dark Knight,152
tt0068646,The Godfather (1972),1972,9.2,474189,175 mins.,Crime|Drama,The Godfather,175
tt0120737,The Lord of the Rings: The Fellowship of the Ring (2001),2001,8.8,451263,178 mins.,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Fellowship of the Ring,178
tt0167260,The Lord of the Rings: The Return of the King (2003),2003,8.8,428791,201 mins.,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Return of the King,201
tt0167261,The Lord of the Rings: The Two Towers (2002),2002,8.7,383113,179 mins.,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Two Towers,179
tt0076759,Star Wars: Episode IV - A New Hope (1977),1977,8.8,364211,121 mins.,Action|Adventure|Family|Fantasy|Sci-Fi,Star Wars: Episode IV - A New Hope,121
tt0114369,Se7en (1995),1995,8.7,337198,127 mins.,Crime|Drama|Mystery|Thriller,Se7en,127
tt0172495,Gladiator (2000),2000,8.4,334107,155 mins.,Action|Adventure|Drama,Gladiator,155
tt0209144,Memento (2000),2000,8.7,325663,113 mins.,Crime|Drama|Mystery|Thriller,Memento,113
tt0120815,Saving Private Ryan (1998),1998,8.5,317912,169 mins.,Action|Drama|History|War,Saving Private Ryan,169
tt0407887,The Departed (2006),2006,8.5,315448,151 mins.,Crime|Mystery|Thriller,The Departed,151
tt0401792,Sin City (2005),2005,8.3,295014,124 mins.,Action|Crime|Drama|Thriller,Sin City,124
tt0071562,The Godfather: Part II (1974),1974,9.0,291169,200 mins.,Crime|Drama,The Godfather: Part II,200
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,8.0,282758,143 mins.,Action|Adventure|Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl,143
tt0103064,Terminator 2: Judgment Day (1991),1991,8.6,280590,137 mins.,Action|Sci-Fi|Thriller,Terminator 2: Judgment Day,137
tt0082971,Raiders of the Lost Ark (1981),1981,8.7,277941,115 mins.,Action|Adventure,Raiders of the Lost Ark,115
tt0434409,V for Vendetta (2006),2006,8.2,272272,132 mins.,Action|Sci-Fi|Thriller,V for Vendetta,132
tt0120586,American History X (1998),1998,8.6,270082,119 mins.,Crime|Drama,American History X,119
tt0338013,Eternal Sunshine of the Spotless Mind (2004),2004,8.5,260298,108 mins.,Drama|Romance|Sci-Fi,Eternal Sunshine of the Spotless Mind,108
tt0073486,One Flew Over the Cuckoo's Nest (1975),1975,8.9,255503,133 mins.,Drama,One Flew Over the Cuckoo's Nest,133
tt0246578,Donnie Darko (2001),2001,8.2,246756,113 mins.,Drama|Mystery|Sci-Fi,Donnie Darko,113
tt0088763,Back to the Future (1985),1985,8.4,244444,116 mins.,Adventure|Family|Sci-Fi,Back to the Future,116
tt0086190,Star Wars: Episode VI - Return of the Jedi (1983),1983,8.3,242129,134 mins.,Action|Adventure|Family|Fantasy|Sci-Fi,Star Wars: Episode VI - Return of the Jedi,134
tt0477348,No Country for Old Men (2007),2007,8.2,237275,122 mins.,Crime|Drama|Thriller,No Country for Old Men,122
tt0418279,Transformers (2007),2007,7.2,229119,144 mins.,Action|Sci-Fi|Thriller,Transformers,144
tt0066921,A Clockwork Orange (1971),1971,8.5,225495,136 mins.,Crime|Drama|Sci-Fi,A Clockwork Orange,136
tt1010048,Slumdog Millionaire (2008),2008,8.2,220634,120 mins.,Crime|Drama|Romance|Thriller,Slumdog Millionaire,120
tt0211915,Am\xe9lie (2001),2001,8.5,215732,122 mins.,Comedy|Fantasy|Romance,Am\xe9lie,122
tt0095016,Die Hard (1988),1988,8.3,214352,131 mins.,Action|Thriller,Die Hard,131
tt0088247,The Terminator (1984),1984,8.1,211834,107 mins.,Action|Sci-Fi,The Terminator,107
tt0083658,Blade Runner (1982),1982,8.3,210220,117 mins.,Drama|Sci-Fi|Thriller,Blade Runner,117
tt0208092,Snatch. (2000),2000,8.3,208975,104 mins.,Crime|Thriller,Snatch.,104
tt0266543,Finding Nemo (2003),2003,8.2,203841,100 mins.,Animation|Adventure|Comedy|Family,Finding Nemo,100
tt0317248,City of God (2002),2002,8.8,199917,130 mins.,Crime|Drama,City of God,130
tt1136608,District 9 (2009),2009,8.2,198635,112 mins.,Action|Drama|Sci-Fi|Thriller,District 9,112
tt0114746,Twelve Monkeys (1995),1995,8.1,196696,129 mins.,Mystery|Sci-Fi|Thriller,Twelve Monkeys,129
tt0381061,Casino Royale (2006),2006,8.0,194834,144 mins.,Action|Crime|Thriller,Casino Royale,144
tt0090605,Aliens (1986),1986,8.5,194734,137 mins.,Action|Adventure|Sci-Fi|Thriller,Aliens,137
tt0317705,The Incredibles (2004),2004,8.1,191778,115 mins.,Animation|Action|Adventure|Family|Fantasy,The Incredibles,115
tt0114709,Toy Story (1995),1995,8.2,188939,80 mins.,Animation|Adventure|Comedy|Family|Fantasy,Toy Story,80
tt0119488,L.A. Confidential (1997),1997,8.4,187115,138 mins.,Crime|Drama|Mystery|Thriller,L.A. Confidential,138
tt0457430,Pan's Labyrinth (2006),2006,8.4,186080,00 mins.,Drama|Fantasy|Mystery,Pan's Labyrinth,0
tt0126029,Shrek (2001),2001,7.9,185372,90 mins.,Animation|Adventure|Comedy|Family|Fantasy,Shrek,90
tt1119646,The Hangover (2009),2009,7.9,182689,100 mins.,Comedy|Crime,The Hangover,100
tt0480249,I Am Legend (2007),2007,7.1,181922,101 mins.,Drama|Sci-Fi|Thriller,I Am Legend,101
tt0093058,Full Metal Jacket (1987),1987,8.4,179718,116 mins.,Drama|War,Full Metal Jacket,116
tt0440963,The Bourne Ultimatum (2007),2007,8.2,178311,115 mins.,Action|Crime|Thriller,The Bourne Ultimatum,115
tt0107290,Jurassic Park (1993),1993,7.9,176437,127 mins.,Adventure|Family|Sci-Fi,Jurassic Park,127
tt0071853,Monty Python and the Holy Grail (1975),1975,8.4,175723,91 mins.,Adventure|Comedy,Monty Python and the Holy Grail,91
tt0110357,The Lion King (1994),1994,8.3,173970,89 mins.,Animation|Adventure|Comedy|Drama|Family|Musical,The Lion King,89
tt0180093,Requiem for a Dream (2000),2000,8.5,220783,102 mins.,Drama,Requiem for a Dream,102
tt0378194,Kill Bill: Vol. 2 (2004),2004,8.0,216272,136 mins.,Crime|Drama|Thriller,Kill Bill: Vol. 2,136
tt0120915,Star Wars: Episode I - The Phantom Menace (1999),1999,6.4,215280,136 mins.,Action|Adventure|Sci-Fi,Star Wars: Episode I - The Phantom Menace,136
tt0081505,The Shining (1980),1980,8.5,212988,00 mins.,Drama|Horror|Mystery,The Shining,0
tt0118715,The Big Lebowski (1998),1998,8.2,210701,117 mins.,Comedy|Crime,The Big Lebowski,117
tt0078748,Alien (1979),1979,8.5,209880,117 mins.,Horror|Sci-Fi,Alien,117
tt0371746,Iron Man (2008),2008,7.9,205891,126 mins.,Action|Adventure|Sci-Fi,Iron Man,126
tt0121766,Star Wars: Episode III - Revenge of the Sith (2005),2005,7.8,202734,140 mins.,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode III - Revenge of the Sith,140
tt0078788,Apocalypse Now (1979),1979,8.6,198861,153 mins.,Drama|War,Apocalypse Now,153
tt0097576,Indiana Jones and the Last Crusade (1989),1989,8.3,197347,127 mins.,Action|Adventure,Indiana Jones and the Last Crusade,127
tt0060196,"The Good, the Bad and the Ugly (1966)",1966,9.0,195238,161 mins.,Western,"The Good, the Bad and the Ugly",161
tt0375679,Crash (2004),2004,8.0,194749,112 mins.,Drama,Crash,112
tt0120382,The Truman Show (1998),1998,8.0,193505,103 mins.,Comedy|Drama|Sci-Fi,The Truman Show,103
tt0145487,Spider-Man (2002),2002,7.4,191150,121 mins.,Action|Adventure|Fantasy,Spider-Man,121
tt0116282,Fargo (1996),1996,8.3,187498,98 mins.,Crime|Drama|Thriller,Fargo,98
tt0075314,Taxi Driver (1976),1976,8.6,186983,113 mins.,Drama|Thriller,Taxi Driver,113
tt0206634,Children of Men (2006),2006,8.0,185689,109 mins.,Adventure|Drama|Sci-Fi|Thriller,Children of Men,109
tt0062622,2001: A Space Odyssey (1968),1968,8.4,183207,141 mins.,Adventure|Mystery|Sci-Fi,2001: A Space Odyssey,141
tt0086250,Scarface (1983),1983,8.2,182189,170 mins.,Crime|Drama|Thriller,Scarface,170
tt0119217,Good Will Hunting (1997),1997,8.1,180850,126 mins.,Drama,Good Will Hunting,126
tt0383574,Pirates of the Caribbean: Dead Man's Chest (2006),2006,7.3,178312,151 mins.,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest,151
tt0121765,Star Wars: Episode II - Attack of the Clones (2002),2002,6.8,178266,142 mins.,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode II - Attack of the Clones,142
tt0117951,Trainspotting (1996),1996,8.2,175993,94 mins.,Crime|Drama,Trainspotting,94
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,8.6,174723,95 mins.,Comedy|Drama,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95
tt0467406,Juno (2007),2007,7.8,172477,96 mins.,Comedy|Drama|Romance,Juno,96
tt1130884,Shutter Island (2010),2010,8.0,171493,138 mins.,Drama|Mystery|Thriller,Shutter Island,138
tt0116629,Independence Day (1996),1996,6.6,171067,145 mins.,Action|Adventure|Sci-Fi|Thriller,Independence Day,145
tt0113277,Heat (1995),1995,8.3,169584,170 mins.,Crime|Drama|Thriller,Heat,170
tt1205489,Gran Torino (2008),2008,8.3,168721,116 mins.,Drama,Gran Torino,116
tt0796366,Star Trek (2009),2009,8.1,167917,127 mins.,Action|Adventure|Sci-Fi,Star Trek,127
tt0421715,The Curious Case of Benjamin Button (2008),2008,8.0,165459,166 mins.,Drama|Fantasy|Mystery|Romance,The Curious Case of Benjamin Button,166
tt0382932,Ratatouille (2007),2007,8.1,163982,111 mins.,Animation|Comedy|Family|Fantasy,Ratatouille,111
tt0253474,The Pianist (2002),2002,8.5,162990,150 mins.,Biography|Drama|War,The Pianist,150
tt0073195,Jaws (1975),1975,8.3,161557,124 mins.,Thriller,Jaws,124
tt0413300,Spider-Man 3 (2007),2007,6.4,160495,139 mins.,Action|Drama|Fantasy|Thriller,Spider-Man 3,139
tt0241527,Harry Potter and the Sorcerer's Stone (2001),2001,7.2,159229,152 mins.,Adventure|Family|Fantasy|Mystery,Harry Potter and the Sorcerer's Stone,152
tt0409459,Watchmen (2009),2009,7.7,158180,162 mins.,Action|Drama|Mystery|Sci-Fi|Thriller,Watchmen,162
tt0829482,Superbad (2007),2007,7.7,156450,113 mins.,Comedy,Superbad,113
tt1060277,Cloverfield (2008),2008,7.3,154591,85 mins.,Horror|Mystery|Sci-Fi,Cloverfield,85
tt0268978,A Beautiful Mind (2001),2001,8.0,154017,135 mins.,Biography|Drama,A Beautiful Mind,135
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull (2008),2008,6.5,151439,122 mins.,Action|Adventure,Indiana Jones and the Kingdom of the Crystal Skull,122
tt0120735,"Lock, Stock and Two Smoking Barrels (1998)",1998,8.2,150986,107 mins.,Crime|Thriller,"Lock, Stock and Two Smoking Barrels",107
tt0947798,Black Swan (2010),2010,8.3,150346,108 mins.,Drama|Mystery|Thriller,Black Swan,108
tt0425112,Hot Fuzz (2007),2007,7.9,148908,121 mins.,Action|Comedy|Mystery,Hot Fuzz,121
tt0335266,Lost in Translation (2003),2003,7.9,147603,104 mins.,Drama,Lost in Translation,104
tt0337978,Live Free or Die Hard (2007),2007,7.5,146690,128 mins.,Action|Crime|Thriller,Live Free or Die Hard,128
tt0258463,The Bourne Identity (2002),2002,7.8,145709,119 mins.,Action|Crime|Mystery|Thriller,The Bourne Identity,119
tt0435761,Toy Story 3 (2010),2010,8.6,144200,103 mins.,Animation|Adventure|Comedy|Family|Fantasy,Toy Story 3,103
tt0242653,The Matrix Revolutions (2003),2003,6.5,142679,129 mins.,Action|Adventure|Sci-Fi,The Matrix Revolutions,129
tt0327056,Mystic River (2003),2003,8.0,141923,138 mins.,Crime|Drama|Mystery|Thriller,Mystic River,138
tt0405159,Million Dollar Baby (2004),2004,8.2,171194,132 mins.,Drama|Sport,Million Dollar Baby,132
tt0234215,The Matrix Reloaded (2003),2003,7.1,170481,138 mins.,Action|Adventure|Sci-Fi,The Matrix Reloaded,138
tt0449059,Little Miss Sunshine (2006),2006,8.0,168936,101 mins.,Adventure|Comedy|Drama,Little Miss Sunshine,101
tt0054215,Psycho (1960),1960,8.7,168286,109 mins.,Horror|Mystery|Thriller,Psycho,109
tt0319061,Big Fish (2003),2003,8.0,166081,125 mins.,Adventure|Drama|Fantasy,Big Fish,125
tt0264464,Catch Me If You Can (2002),2002,7.8,165029,141 mins.,Biography|Comedy|Crime|Drama,Catch Me If You Can,141
tt0316654,Spider-Man 2 (2004),2004,7.6,163218,127 mins.,Action|Crime|Fantasy|Thriller,Spider-Man 2,127
tt0107048,Groundhog Day (1993),1993,8.2,162409,101 mins.,Comedy|Drama|Fantasy|Romance,Groundhog Day,101
tt0240772,Ocean's Eleven (2001),2001,7.6,161395,116 mins.,Crime|Thriller,Ocean's Eleven,116
tt0449088,Pirates of the Caribbean: At World's End (2007),2007,7.0,160070,169 mins.,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End,169
tt1049413,Up (2009),2009,8.3,159023,96 mins.,Animation|Adventure|Comedy|Drama|Family|Fantasy,Up,96
tt0365748,Shaun of the Dead (2004),2004,8.0,156939,99 mins.,Comedy|Horror,Shaun of the Dead,99
tt0181689,Minority Report (2002),2002,7.7,154873,145 mins.,Action|Crime|Mystery|Sci-Fi|Thriller,Minority Report,145
tt0469494,There Will Be Blood (2007),2007,8.2,154558,158 mins.,Drama,There Will Be Blood,158
tt0332452,Troy (2004),2004,7.0,153165,163 mins.,Action|Drama|History|Romance,Troy,163
tt0119116,The Fifth Element (1997),1997,7.5,151108,126 mins.,Action|Sci-Fi|Thriller,The Fifth Element,126
tt0407304,War of the Worlds (2005),2005,6.5,150734,116 mins.,Action|Adventure|Drama|Sci-Fi|Thriller,War of the Worlds,116
tt0360717,King Kong (2005),2005,7.5,149542,187 mins.,Action|Adventure|Drama|Romance|Thriller,King Kong,187
tt0050083,12 Angry Men (1957),1957,8.9,148155,96 mins.,Drama|Mystery,12 Angry Men,96
tt0198781,"Monsters, Inc. (2001)",2001,8.0,147321,92 mins.,Animation|Adventure|Comedy|Family|Fantasy,"Monsters, Inc.",92
tt1250777,Kick-Ass (2010),2010,8.0,146535,117 mins.,Action|Adventure|Comedy,Kick-Ass,117
tt1099212,Twilight (2008),2008,5.4,144360,122 mins.,Adventure|Drama|Fantasy|Romance,Twilight,122
tt0450259,Blood Diamond (2006),2006,8.0,143558,143 mins.,Adventure|Drama|Thriller,Blood Diamond,143
tt0295297,Harry Potter and the Chamber of Secrets (2002),2002,7.1,142348,161 mins.,Adventure|Family|Fantasy|Mystery,Harry Potter and the Chamber of Secrets,161
tt0120903,X-Men (2000),2000,7.4,141858,104 mins.,Action|Adventure|Sci-Fi,X-Men,104
tt0120363,Toy Story 2 (1999),1999,8.0,141529,92 mins.,Animation|Adventure|Comedy|Family|Fantasy,Toy Story 2,92
tt0443453,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),2006,7.5,138421,84 mins.,Comedy,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,84
tt0093779,The Princess Bride (1987),1987,8.1,137798,98 mins.,Adventure|Comedy|Family|Fantasy|Romance,The Princess Bride,98
tt0120591,Armageddon (1998),1998,6.2,137133,150 mins.,Action|Adventure|Sci-Fi|Thriller,Armageddon,150
tt0175880,Magnolia (1999),1999,8.0,135347,188 mins.,Drama,Magnolia,188
tt0387564,Saw (2004),2004,7.7,133680,103 mins.,Crime|Horror|Mystery|Thriller,Saw,103
tt0304141,Harry Potter and the Prisoner of Azkaban (2004),2004,7.7,132426,141 mins.,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban,141
tt0758758,Into the Wild (2007),2007,8.2,131590,148 mins.,Adventure|Biography|Drama,Into the Wild,148
tt0462538,The Simpsons Movie (2007),2007,7.5,131168,87 mins.,Animation|Adventure|Comedy,The Simpsons Movie,87
tt0765429,American Gangster (2007),2007,7.9,129738,157 mins.,Crime|Drama,American Gangster,157
tt0388795,Brokeback Mountain (2005),2005,7.8,128651,134 mins.,Drama|Romance,Brokeback Mountain,134
tt0478311,Knocked Up (2007),2007,7.4,128110,129 mins.,Comedy|Drama|Romance,Knocked Up,129
tt0289879,The Butterfly Effect (2004),2004,7.8,127062,113 mins.,Drama|Mystery|Sci-Fi|Thriller,The Butterfly Effect,113
tt0091763,Platoon (1986),1986,8.2,126792,120 mins.,Action|Drama|War,Platoon,120
tt0245429,Spirited Away (2001),2001,8.6,125718,125 mins.,Animation|Adventure|Family|Fantasy,Spirited Away,125
tt0493464,Wanted (2008),2008,6.8,125384,110 mins.,Action|Crime|Thriller,Wanted,110
tt0325710,The Last Samurai (2003),2003,7.7,125299,154 mins.,Action|Adventure|Drama|History|War,The Last Samurai,154
tt0942385,Tropic Thunder (2008),2008,7.1,124682,107 mins.,Action|Adventure|Comedy,Tropic Thunder,107
tt0087469,Indiana Jones and the Temple of Doom (1984),1984,7.5,124298,118 mins.,Action|Adventure,Indiana Jones and the Temple of Doom,118
tt0162222,Cast Away (2000),2000,7.5,123598,143 mins.,Adventure|Drama,Cast Away,143
tt0289043,28 Days Later... (2002),2002,7.6,123276,113 mins.,Horror|Sci-Fi|Thriller,28 Days Later...,113
tt0780536,In Bruges (2008),2008,8.1,122870,107 mins.,Crime|Drama|Thriller,In Bruges,107
tt1055369,Transformers: Revenge of the Fallen (2009),2009,5.9,122055,150 mins.,Action|Adventure|Sci-Fi|Thriller,Transformers: Revenge of the Fallen,150
tt0075148,Rocky (1976),1976,8.1,120811,119 mins.,Drama|Romance|Sport,Rocky,119
tt0083866,E.T.: The Extra-Terrestrial (1982),1982,7.9,120582,115 mins.,Adventure|Drama|Family|Fantasy|Sci-Fi,E.T.: The Extra-Terrestrial,115
tt0936501,Taken (2008),2008,7.9,140019,93 mins.,Action|Crime|Thriller,Taken,93
tt0119654,Men in Black (1997),1997,7.0,138013,98 mins.,Action|Adventure|Comedy|Sci-Fi,Men in Black,98
tt0047396,Rear Window (1954),1954,8.7,137663,112 mins.,Mystery|Romance|Thriller,Rear Window,112
tt1285016,The Social Network (2010),2010,8.1,136871,120 mins.,Biography|Drama,The Social Network,120
tt0330373,Harry Potter and the Goblet of Fire (2005),2005,7.5,135086,157 mins.,Adventure|Family|Fantasy|Mystery,Harry Potter and the Goblet of Fire,157
tt0382625,The Da Vinci Code (2006),2006,6.4,133074,149 mins.,Mystery|Thriller,The Da Vinci Code,149
tt0217505,Gangs of New York (2002),2002,7.4,131955,167 mins.,Crime|Drama|History,Gangs of New York,167
tt0118799,Life Is Beautiful (1997),1997,8.5,131578,116 mins.,Comedy|Drama|Romance|War,Life Is Beautiful,116
tt0290334,X2 (2003),2003,7.7,130640,133 mins.,Action|Adventure|Sci-Fi|Thriller,X2,133
tt0112641,Casino (1995),1995,8.2,129141,178 mins.,Biography|Crime|Drama,Casino,178
tt0988045,Sherlock Holmes (2009),2009,7.5,128382,128 mins.,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes,128
tt0095953,Rain Man (1988),1988,8.0,127586,133 mins.,Drama,Rain Man,133
tt0376994,X-Men: The Last Stand (2006),2006,6.8,126913,104 mins.,Action|Adventure|Sci-Fi|Thriller,X-Men: The Last Stand,104
tt0286106,Signs (2002),2002,6.9,126404,106 mins.,Drama|Mystery|Sci-Fi|Thriller,Signs,106
tt0373889,Harry Potter and the Order of the Phoenix (2007),2007,7.3,125676,138 mins.,Adventure|Family|Fantasy|Mystery,Harry Potter and the Order of the Phoenix,138
tt0120601,Being John Malkovich (1999),1999,7.9,125332,112 mins.,Comedy|Drama|Fantasy,Being John Malkovich,112
tt0070047,The Exorcist (1973),1973,8.1,124786,122 mins.,Horror|Mystery|Thriller,The Exorcist,122
tt0096895,Batman (1989),1989,7.6,124430,126 mins.,Action|Crime|Thriller,Batman,126
tt0163651,American Pie (1999),1999,6.9,123900,95 mins.,Comedy|Romance,American Pie,95
tt0372183,The Bourne Supremacy (2004),2004,7.6,123504,108 mins.,Action|Crime|Thriller,The Bourne Supremacy,108
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street (2007),2007,7.6,123106,116 mins.,Drama|Horror|Musical|Thriller,Sweeney Todd: The Demon Barber of Fleet Street,116
tt0099487,Edward Scissorhands (1990),1990,8.0,122596,105 mins.,Drama|Fantasy|Romance,Edward Scissorhands,105
tt0162661,Sleepy Hollow (1999),1999,7.5,120886,105 mins.,Horror|Mystery|Thriller,Sleepy Hollow,105
tt0181852,Terminator 3: Rise of the Machines (2003),2003,6.6,120646,109 mins.,Action|Adventure|Sci-Fi|Thriller,Terminator 3: Rise of the Machines,109
tt0117500,The Rock (1996),1996,7.3,120384,136 mins.,Action|Thriller,The Rock,136
tt0356910,Mr. & Mrs. Smith (2005),2005,6.4,120293,120 mins.,Action|Comedy|Romance,Mr. & Mrs. Smith,120
tt0190332,"Crouching Tiger, Hidden Dragon (2000)",2000,8.0,119969,120 mins.,Action|Adventure|Drama|Fantasy|Romance,"Crouching Tiger, Hidden Dragon",120
tt0448157,Hancock (2008),2008,6.5,119766,92 mins.,Action|Crime|Fantasy|Sci-Fi,Hancock,92
tt1125849,The Wrestler (2008),2008,8.1,119191,109 mins.,Drama|Romance|Sport,The Wrestler,109
tt0379786,Serenity (2005),2005,7.9,118578,119 mins.,Action|Adventure|Sci-Fi|Thriller,Serenity,119
tt0144084,American Psycho (2000),2000,7.5,117937,102 mins.,Comedy|Crime,American Psycho,102
tt0166924,Mulholland Dr. (2001),2001,8.0,117851,147 mins.,Drama|Mystery|Thriller,Mulholland Dr.,147
tt0105695,Unforgiven (1992),1992,8.3,116986,131 mins.,Drama|Western,Unforgiven,131
tt0314331,Love Actually (2003),2003,7.8,115695,135 mins.,Comedy|Drama|Romance,Love Actually,135
tt0265086,Black Hawk Down (2001),2001,7.7,115096,144 mins.,Action|Drama|History|War,Black Hawk Down,144
tt0086879,Amadeus (1984),1984,8.4,113010,160 mins.,Biography|Drama|Music,Amadeus,160
tt0213149,Pearl Harbor (2001),2001,5.5,112599,183 mins.,Action|Drama|Romance|War,Pearl Harbor,183
tt0047478,Seven Samurai (1954),1954,8.8,111707,207 mins.,Adventure|Drama,Seven Samurai,207
tt0438488,Terminator Salvation (2009),2009,6.8,110600,115 mins.,Action|Drama|Sci-Fi|Thriller,Terminator Salvation,115
tt0405422,The 40 Year Old Virgin (2005),2005,7.4,110443,116 mins.,Comedy|Romance,The 40 Year Old Virgin,116
tt0298148,Shrek 2 (2004),2004,7.4,109832,93 mins.,Animation|Adventure|Comedy|Family|Fantasy,Shrek 2,93
tt0120616,The Mummy (1999),1999,6.9,109396,125 mins.,Action|Adventure|Fantasy,The Mummy,125
tt0887883,Burn After Reading (2008),2008,7.2,109109,96 mins.,Comedy|Crime|Drama,Burn After Reading,96
tt0315327,Bruce Almighty (2003),2003,6.6,109031,101 mins.,Comedy|Drama|Fantasy,Bruce Almighty,101
tt0120655,Dogma (1999),1999,7.3,108758,130 mins.,Adventure|Comedy|Fantasy,Dogma,130
tt0319262,The Day After Tomorrow (2004),2004,6.3,108540,124 mins.,Action|Adventure|Drama|Sci-Fi|Thriller,The Day After Tomorrow,124
tt0106977,The Fugitive (1993),1993,7.8,106898,130 mins.,Action|Adventure|Crime|Drama|Thriller,The Fugitive,130
tt0190590,"O Brother, Where Art Thou? (2000)",2000,7.8,106687,106 mins.,Comedy|Adventure|Crime|Music,"O Brother, Where Art Thou?",106
tt0117571,Scream (1996),1996,7.2,106216,103 mins.,Crime|Horror|Mystery|Thriller,Scream,103
tt0212720,A.I. Artificial Intelligence (2001),2001,7.0,105570,146 mins.,Adventure|Drama|Sci-Fi,A.I. Artificial Intelligence,146
tt0369339,Collateral (2004),2004,7.7,120089,120 mins.,Crime|Drama|Thriller,Collateral,120
tt0343818,"I, Robot (2004)",2004,7.0,119811,115 mins.,Action|Mystery|Sci-Fi|Thriller,"I, Robot",115
tt0364569,Oldboy (2003),2003,8.4,119238,120 mins.,Drama|Mystery|Thriller,Oldboy,120
tt0119094,Face/Off (1997),1997,7.3,119006,138 mins.,Action|Crime|Sci-Fi|Thriller,Face/Off,138
tt0367594,Charlie and the Chocolate Factory (2005),2005,7.0,117976,115 mins.,Adventure|Comedy|Family|Fantasy,Charlie and the Chocolate Factory,115
tt0203009,Moulin Rouge! (2001),2001,7.6,117857,127 mins.,Drama|Musical|Romance,Moulin Rouge!,127
